Project;Filename;Size_bytes;Gzip_bytes;Kind
frontend;favicon.ico;6796;819;image
frontend;index.html;1103;407;html
frontend;img/sauce.svg;4079;1805;image
frontend;img/potato.svg;4384;1741;image
frontend;img/foundation/small-tomato.svg;5731;2410;image
frontend;img/foundation/big-tomato.svg;5739;2412;image
frontend;img/foundation/big-creamy.svg;5738;2412;image
frontend;img/foundation/small-creamy.svg;5738;2410;image
frontend;img/users/user.jpg;8958;8990;image
frontend;img/filling/onion.svg;4064;1354;image
frontend;img/filling/parmesan.svg;123658;47839;image
frontend;img/filling/salami.svg;2805;1044;image
frontend;img/filling/blue_cheese.svg;2259;1070;image
frontend;img/filling/mushrooms.svg;1532;766;image
frontend;img/filling/salmon.svg;1803;904;image
frontend;img/filling/tomatoes.svg;2022;980;image
frontend;img/filling/olives.svg;578;370;image
frontend;img/filling/ananas.svg;3891;1888;image
frontend;img/filling/mozzarella.svg;4398;2010;image
frontend;img/filling/chile.svg;1311;737;image
frontend;img/filling/ham.svg;2583;979;image
frontend;img/filling/jalapeno.svg;1846;871;image
frontend;img/filling/bacon.svg;4445;2330;image
frontend;img/filling/cheddar.svg;1169;612;image
frontend;img/cola.svg;3620;1265;image
frontend;img/filling-big/onion.svg;20318;5924;image
frontend;img/filling-big/parmesan.svg;25480;10391;image
frontend;img/filling-big/salami.svg;16527;5579;image
frontend;img/filling-big/blue_cheese.svg;9256;3893;image
frontend;img/filling-big/mushrooms.svg;9054;3904;image
frontend;img/filling-big/salmon.svg;7864;3155;image
frontend;img/filling-big/tomatoes.svg;9865;4025;image
frontend;img/filling-big/olives.svg;3824;1750;image
frontend;img/filling-big/ananas.svg;15488;6584;image
frontend;img/filling-big/mozzarella.svg;25937;9921;image
frontend;img/filling-big/chile.svg;3843;1678;image
frontend;img/filling-big/ham.svg;12559;3690;image
frontend;img/filling-big/jalapeno.svg;7092;2632;image
frontend;img/filling-big/bacon.svg;17489;7898;image
frontend;img/filling-big/cheddar.svg;4873;2043;image
frontend;assets/ham-CH96pP5v.svg;12559;3699;image
frontend;assets/index-ChV2XMCN.js;157009;60943;js
frontend;assets/OrdersView-6eAy3Ugh.css;3484;1059;css
frontend;assets/salami-CYvAOd2N.svg;16527;5588;image
frontend;assets/LoginView-D4IndRcK.js;2897;1445;js
frontend;assets/ButtonComponent-lENU5Jll.css;2650;958;css
frontend;assets/blue_cheese-B1Y3UXT9.svg;9256;3902;image
frontend;assets/roboto-bold-CP5ZINhl.woff2;22536;22591;font
frontend;assets/TextInput-B8FBl2m7.css;710;363;css
frontend;assets/ProfileView-Bf6ogKTP.css;2541;1010;css
frontend;assets/cheddar-C-pMmiAb.svg;4873;2052;image
frontend;assets/small-creamy-C51dKSuN.svg;5738;2419;image
frontend;assets/onion-BDCn4VJ9.svg;20318;5933;image
frontend;assets/ananas-THrIwOUB.svg;15488;6593;image
frontend;assets/logo-BBUov1OP.svg;5627;2698;image
frontend;assets/popup-Bqefjttx.svg;17899;8164;image
frontend;assets/CartView-Csr4SS2E.js;13630;5129;js
frontend;assets/roboto-regular-56L6iL-I.woff2;65916;65919;font
frontend;assets/roboto-regular-BsN8iP2n.woff;93388;92459;font
frontend;assets/CartView-qGVcvf7B.css;5824;1893;css
frontend;assets/big-tomato-Cvn2WRfs.svg;5739;2421;image
frontend;assets/bacon-nf12AkFg.svg;17489;7907;image
frontend;assets/big-creamy-BlDPUM_s.svg;5738;2421;image
frontend;assets/OrdersView-BfUm11_R.js;7616;3103;js
frontend;assets/HomeView-BM0k5kQc.css;23380;8388;css
frontend;assets/SheetComponent-BiKa8Jhc.js;794;486;js
frontend;assets/concatAddress-CUiMFAF-.js;91;131;js
frontend;assets/TextInput-MN0OWzjY.js;1435;673;js
frontend;assets/SheetComponent-DNIliOCe.css;318;256;css
frontend;assets/HomeView-CFw-y629.js;12569;4157;js
frontend;assets/salmon-C3Cw_F69.svg;7864;3164;image
frontend;assets/small-tomato-CViKH6Ih.svg;5731;2419;image
frontend;assets/ProfileView-DGB6Ez7F.js;7744;2991;js
frontend;assets/mozzarella-DKpWSLaj.svg;25937;9930;image
frontend;assets/ButtonComponent-DgzQ02zm.js;1144;663;js
frontend;assets/parmesan-BA7S18XL.svg;25480;10400;image
frontend;assets/roboto-bold-DKAZFU91.woff;28856;28848;font
frontend;assets/tomatoes-C5oUEd4y.svg;9865;4034;image
frontend;assets/LoginView-v2A_oIhS.css;488;347;css
frontend;assets/CounterComponent-G9zgaV9I.css;1929;628;css
frontend;assets/roboto-light-BU4NLvAn.woff;28656;28662;font
frontend;assets/CloseButton-B39_GmNY.js;550;399;js
frontend;assets/jalapeno-DXFCfDLg.svg;7092;2641;image
frontend;assets/product-BXOnNp6-.js;55;95;js
frontend;assets/diameter-BUSiQDYK.svg;33126;12676;image
frontend;assets/mushrooms-Da-zUsAm.svg;9054;3913;image
frontend;assets/product-DAd-wvy3.svg;55176;19951;image
frontend;assets/CloseButton-Pt1dirpI.css;734;340;css
frontend;assets/CounterComponent-dAFI_p_-.js;1405;761;js
frontend;assets/roboto-light-BxhWy8Fw.woff2;22376;22432;font
frontend;assets/index-DtHvHLYj.css;10319;3251;css
shell;index.html;1130;535;html
shell;assets/virtualExposes-DN39MDG_.js;51;98;js
shell;assets/MfeView-CESUrJUQ.js;2042;1068;js
shell;assets/virtual_mf-REMOTE_ENTRY_ID___mfe_internal__shell__remoteEntry_js-43IP29n6.js;76525;23606;js
shell;assets/hostInit-D-eMgRM5.js;58;92;js
shell;assets/roboto-bold-CP5ZINhl.woff2;22536;22591;font
shell;assets/vue.runtime.esm-bundler-Dd2uPGwZ.js;109186;42467;js
shell;assets/__mfe_internal__shell__loadRemote__auth_mf_1_entry__loadRemote__-lJg_OYyC.js;853;589;js
shell;assets/logo-BBUov1OP.svg;5627;2698;image
shell;assets/index-C-uSXZdh.js;33877;13052;js
shell;assets/roboto-regular-56L6iL-I.woff2;65916;65919;font
shell;assets/roboto-regular-BsN8iP2n.woff;93388;92459;font
shell;assets/pinia-B3XqtjJQ.js;5687;2600;js
shell;assets/__mfe_internal__shell__loadShare__pinia__loadShare__.js-DCiwCax6.js;860;594;js
shell;assets/roboto-bold-DKAZFU91.woff;28856;28848;font
shell;assets/MfeView-BetGQe2l.css;933;441;css
shell;assets/localSharedImportMap-4wVRSjY4.js;1470;583;js
shell;assets/roboto-light-BU4NLvAn.woff;28656;28662;font
shell;assets/index-DVAf2fIe.css;8343;3136;css
shell;assets/__mfe_internal__shell__loadShare__vue__loadShare__.js-Dw1AVxDF.js;3601;1856;js
shell;assets/preload-helper-Ct5FWWRu.js;1234;745;js
shell;assets/roboto-light-BxhWy8Fw.woff2;22376;22432;font
shell;assets/__mfe_internal__shell__loadRemote__cart_mf_1_entry__loadRemote__-Bsm7XoyP.js;853;589;js
shell;remoteEntry.js;185;186;js
auth;index.html;950;437;html
auth;@mf-types/entry.d.ts;89;87;other
auth;@mf-types/compiled-types/constants.d.ts;50;85;other
auth;@mf-types/compiled-types/entry.d.ts;245;171;other
auth;@mf-types/compiled-types/types/User.d.ts;100;93;other
auth;@mf-types/compiled-types/stores/authStore.d.ts;1898;360;other
auth;@mf-types/compiled-types/utils/TokenStorage.d.ts;122;126;other
auth;@mf-types/compiled-types/http/httpClient.d.ts;64;94;other
auth;@mf-types/compiled-types/api/authApi.d.ts;323;209;other
auth;@mf-types.d.ts;185;147;other
auth;assets/index-DBkScut0.js;1033;586;js
auth;assets/pinia-DNEbwMdp.js;5705;2613;js
auth;assets/runtimeInit-uKVrzusr.js;410;277;js
auth;assets/vue.runtime.esm-bundler-Dd2uPGwZ.js;109186;42467;js
auth;assets/popup-Bqefjttx.svg;17899;8164;image
auth;assets/App.vue_vue_type_style_index_0_lang-DQ7U4LZ0.js;43586;17682;js
