Run;URL;Ping: Elapsed, ms;TTFB: TTFB, ms;TTFB: DNS Lookup, ms;TTFB: TCP Connect, ms;TTFB: TLS Handshake, ms;TTFB: Server Processing, ms;Navigation Timing: Response, ms;Navigation Timing: DOM Parse, ms;Navigation Timing: Execute Scripts, ms;Navigation Timing: Sub Resources, ms;Navigation Timing: DOMContentLoaded, ms;Navigation Timing: Load Event, ms;Navigation Timing: Total, ms;Lighthouse: Speed Index, ms;Lighthouse: FCP, ms;Lighthouse: LCP, ms;Lighthouse: TTI, ms;Lighthouse: TBT, ms;Lighthouse: CLS;Lighthouse: Performance Score;Resources: Total Resources;Resources: Transfer Size;Resources: Scripts Count;Resources: Scripts Size;Resources: Unique Domains;V8 / Rendering: JS Parse, ms;V8 / Rendering: JS Compile, ms;V8 / Rendering: Task Duration, ms;V8 / Rendering: Layout Count;V8 / Rendering: Recalc Style Count;V8 / Rendering: JS Heap Used;V8 / Rendering: DOM Nodes;E2E Scenario: Scenario Duration, ms;E2E Scenario: Avg Input Delay, ms;E2E Scenario: Max Input Delay, ms;E2E Scenario: Total Long Tasks;E2E Scenario: Avg Heap Usage, %;E2E Scenario: Max Heap Usage, %
1;Monolith;12;11;8;1;;2;0;5;14;4;19;23;23;1957;1957;3308;3308;0;0.089141;69;39;273421;6;79518;1;14;11;93;5;8;3609852;1050;11783;4;7;0;65;69
2;Monolith;14;12;8;1;;3;0;5;17;5;24;28;28;1959;1959;3310;3310;0;0.089141;69;39;273421;6;79518;1;12;10;88;5;8;3629364;1050;11881;5;10;0;68;70
3;Monolith;26;20;11;1;;8;0;5;15;4;26;30;30;2181;2181;3307;3307;0;0.000007;69;39;273421;6;79518;1;11;10;86;5;8;3623352;1050;11897;8;21;0;66;69
4;Monolith;16;13;9;1;;3;0;5;16;4;22;26;26;1956;1956;3307;3307;0;0.089141;69;39;273421;6;79518;1;14;11;93;4;7;3624948;1050;11925;6;10;0;65;69
5;Monolith;18;16;10;1;;5;0;6;13;4;20;24;24;1956;1956;3306;3306;0;0.089141;69;39;273421;6;79518;1;13;10;91;6;9;3634948;1050;11781;4;8;0;65;70
6;Monolith;13;12;8;2;;2;0;6;13;4;21;25;25;1959;1959;3311;3311;0;0.08929999999999999;69;39;273421;6;79518;1;13;11;159;8;10;3631660;1050;11885;5;12;0;66;69
7;Monolith;14;12;8;1;;3;0;4;14;3;20;23;23;1955;1955;3306;3306;0;0.089141;69;39;273421;6;79518;1;14;12;93;4;7;3635200;1050;11953;3;7;0;67;70
8;Monolith;14;12;7;1;;4;0;6;14;5;22;26;26;1451;1451;3309;3309;0;0.08929999999999999;74;39;273421;6;79518;1;15;11;89;5;7;3632696;1050;11917;5;7;0;66;69
9;Monolith;48;45;13;6;;27;1;4;17;7;25;33;33;1956;1956;3307;3307;0;0.089143;69;39;273421;6;79518;1;12;11;88;5;8;3632460;1050;11869;5;7;0;65;69
10;Monolith;18;18;10;3;;5;0;5;14;8;21;29;29;1956;1956;3307;3307;0;0.089141;69;39;273421;6;79518;1;13;11;90;5;8;3623540;1050;11840;5;9;0;66;69
1;Shell-MFE;21;19;15;2;;3;0;20;22;0;51;51;51;2671;2671;6705;6705;0;0.089264;58;82;671425;46;287882;1;45;21;127;7;12;5818168;2091;11775;3;7;0;61;67
2;Shell-MFE;18;15;10;2;;3;0;7;5;0;13;13;13;3120;3120;6844;6844;0;0.089264;56;82;671425;46;287882;1;87;25;171;9;15;5822160;2091;11826;5;7;0;64;71
3;Shell-MFE;12;11;8;1;;2;0;4;5;0;10;10;10;3047;3047;6832;6832;0;0.089264;57;82;671425;46;287882;1;50;21;116;8;13;5774844;2091;11838;5;12;0;64;71
4;Shell-MFE;16;14;10;1;;3;0;7;5;0;14;14;14;2482;2482;6835;6835;0;0.089264;59;82;671425;46;287882;1;73;25;185;6;12;5836744;2091;11871;5;11;0;64;71
5;Shell-MFE;11;10;8;1;;1;0;4;7;0;13;13;13;3428;3428;6788;6795;0;0.089264;56;82;671425;46;287882;1;82;23;152;8;11;5872460;2091;11856;3;9;0;65;72
6;Shell-MFE;14;13;8;1;;3;0;5;6;0;12;12;12;2744;2744;6696;6696;0;0.089264;58;82;671425;46;287882;1;53;21;117;8;12;5804136;2091;12066;4;8;0;62;67
7;Shell-MFE;18;16;9;2;;5;0;5;5;0;11;11;11;3126;3126;6854;6854;0;0.089264;56;82;671425;46;287882;1;70;23;141;7;13;5481456;2091;11833;4;6;0;64;70
8;Shell-MFE;12;11;8;1;;2;0;6;7;0;15;15;15;2472;2472;6777;6777;0;0.089264;59;82;671425;46;287882;1;48;22;138;7;11;5841308;2091;11860;4;7;0;64;73
9;Shell-MFE;15;15;10;1;;4;0;6;5;0;13;13;13;2597;2597;6841;6841;0;0.089264;59;82;671425;46;287882;1;89;22;135;6;11;5813000;2091;11808;5;6;0;64;73
10;Shell-MFE;19;16;10;2;;4;0;6;5;0;12;13;13;2813;2813;6837;6837;0;0.089264;57;82;671425;46;287882;1;66;21;121;6;10;5813004;2091;11832;4;6;0;63;72
